Gene	Category	Number of Datasets Detected In	Percent of Datasets Detected in 	All Average TPM 	Tau	NZ Average TPM	NZ Minimum TPM	NZ Standard Deviation 	Highest Maximum TPM	Highest Dataset with Maximum TPM	Highest Median of that Dataset	Highest Difference Between Gene Maximum and Dataset Median
AT5G05210	Canonical	5673	100	41.6271	0.4355	41.6271	0.314	33.341	536.1403	ERR1698203	5.5134	530.6269
AT5G05220	Canonical	3904	68.82	7.9927	0.8934	11.6144	0.024	53.9873	1097.1741	SRR3581731	0.7257	1096.4484
AT5G05230	Canonical	5672	99.98	18.7147	0.3876	18.718	0.1415	9.9692	107.1259	DRR090541	1.0969	106.0291
AT5G05240	Canonical	5665	99.86	6.7732	0.5775	6.7827	0.0366	6.6787	62.0985	ERR1698195	8.9484	53.1501
AT5G05250	Other	5629	99.22	38.6801	0.6025	38.9824	0.0334	60.6543	1111.637	SRR3954850	7.1104	1104.5266
AT5G05260	Unobserved	1373	24.2	0.2006	0.9875	0.8288	0.0065	5.4917	77.6398	SRR5229952	7.0355	70.6042
AT5G05270	Canonical	5655	99.68	60.2162	0.5491	60.4079	0.0148	92.8266	1476.5845	SRR3581881	6.9131	1469.6714
AT5G05280	Unobserved	3241	57.13	0.4437	0.9245	0.7766	0.0131	1.6528	27.4091	SRR5031995	5.049	22.36
AT5G05290	Canonical	2278	40.16	5.1048	0.9698	12.7127	0.0122	136.5896	3587.3411	SRR3581732	4.8407	3582.5004
AT5G05300	Other	4488	79.11	5.2232	0.861	6.6023	0.0334	23.2449	591.5459	SRR5675379	7.4788	584.0672
AT5G05310	Canonical	5669	99.93	7.1866	0.4907	7.1917	0.0175	3.8729	48.7849	ERR1698208	7.8572	40.9277
AT5G05320	Canonical	5549	97.81	6.8609	0.7651	7.0142	0.0218	19.3694	434.1352	SRR5363479	0.9842	433.151
AT5G05330	Unobserved	5606	98.82	3.7536	0.7294	3.7985	0.0143	4.9927	136.4286	SRR2828731	0.3128	136.1157
AT5G05340	Canonical	5086	89.65	10.5251	0.8495	11.7398	0.0127	47.6156	1269.5342	SRR3581682	5.3509	1264.1833
AT5G05350	Other	5646	99.52	2.2508	0.8028	2.2616	0.0266	3.3248	154.2842	SRR2828732	0.2315	154.0528
AT5G05360	Canonical	5671	99.96	32.3609	0.3603	32.3723	0.3886	15.3729	201.8917	SRR2828730	0.4495	201.4422
AT5G05365	Canonical	5499	96.93	8.2835	0.7127	8.5456	0.0481	16.8918	331.0057	SRR1917206	7.0327	323.973
AT5G05370	Other	5673	100	50.3965	0.3875	50.3965	0.1772	39.1584	396.6822	SRR1231506	1.6647	395.0175
AT5G05380	Canonical	5666	99.88	9.0276	0.5893	9.0388	0.0551	7.7201	171.149	SRR1231506	1.6647	169.4843
AT5G05390	Canonical	4850	85.49	2.8359	0.9146	3.3171	0.0138	25.312	968.3055	SRR2131894	3.5951	964.7104
AT5G05400	Canonical	4674	82.39	2.9478	0.7886	3.5779	0.0109	5.7562	86.9551	SRR5238815	0.0487	86.9064
AT5G05410	Canonical	5658	99.74	71.0142	0.7239	71.2025	0.0622	356.4439	11640.4635	SRR5469590	2.9558	11637.5076
AT5G05420	Other	4831	85.16	2.0075	0.7831	2.3574	0.0237	3.1835	40.9832	SRR3707606	7.0193	33.9639
AT5G05430	Unobserved	5584	98.43	2.9744	0.6634	3.0218	0.0325	2.7262	33.723	SRR2970799	0.1141	33.6089
AT5G05440	Canonical	5652	99.63	48.4782	0.4847	48.6584	0.0794	54.5263	502.4492	SRR3165567	3.8828	498.5665
AT5G05450	Canonical	5673	100	18.1966	0.3386	18.1966	0.2222	8.1386	74.2463	SRR5239991	3.9493	70.297
AT5G05460	Canonical	5669	99.93	10.5687	0.5322	10.5762	0.0251	10.6549	91.5703	SRR3664382	5.8856	85.6848
AT5G05470	Canonical	5671	99.96	23.9253	0.3728	23.9338	0.1839	14.2015	132.0402	SRR3664425	4.6654	127.3748
AT5G05480	Canonical	5668	99.91	15.3434	0.4375	15.357	0.07	10.4615	104.2882	SRR3036333	3.117	101.1712
AT5G05490	Canonical	4974	87.68	0.3136	0.9319	0.3577	0.0037	0.8297	21.3236	SRR1791622	9.617	11.7066
AT5G05500	Canonical	3789	66.79	25.2231	0.8059	37.7647	0.0198	98.7318	2437.4893	SRR5238815	0.0487	2437.4406
